Authors,Author full names,Author(s) ID,Title,Year,Source title,Link,Affiliations,Authors with affiliations,Funding Details
DeLind L.B.,"DeLind, Laura B. (6508371064)",6508371064,Are local food and the local food movement taking us where we want to go? Or are we hitching our wagons to the wrong stars?,2011,Agriculture and Human Values,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956116579&doi=10.1007%2fs10460-010-9263-0&partnerID=40&md5=5d898d179e4987b30a0afedbf4e7e994,"Department of Anthropology, Michigan State University, East Lansing, MI 48824, United States","DeLind L.B., Department of Anthropology, Michigan State University, East Lansing, MI 48824, United States",
de SilvÃ©rio Arantes C.; Schiavini I.,"de SilvÃ©rio Arantes, Carolina (37121840300); Schiavini, Ivan (14062579100)",37121840300; 14062579100,"Structure and dynamics of a population of Amaioua guianensis Aubl. (Rubiaceae) in a semideciduous forest urban fragment - UberlÃ¢ndia, Minas Gerais state; [Estrutura e dinÃ¢mica da populaÃ§Ã£o de Amaioua guianensis Aubl. (Rubiaceae) em fragmento urbano de floresta estacional semidecidual - UberlÃ¢ndia, Minas Gerais]",2011,Bioscience Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955754819&partnerID=40&md5=0e6d2a693424a95fd3986502c9940e47,"Universidade Federal de UberlÃ¢ndia - UFU, UberlÃ¢ndia, MG, Brazil; Instituto de Biologia - UFU, UberlÃ¢ndia, MG, Brazil","de SilvÃ©rio Arantes C., Universidade Federal de UberlÃ¢ndia - UFU, UberlÃ¢ndia, MG, Brazil; Schiavini I., Instituto de Biologia - UFU, UberlÃ¢ndia, MG, Brazil",
Du Plessis C.; Cole R.J.,"Du Plessis, Chrisna (56114725300); Cole, Raymond J. (7401590488)",56114725300; 7401590488,Motivating change: Shifting the paradigm,2011,Building Research and Information,https://www.scopus.com/inward/record.uri?eid=2-s2.0-81255197799&doi=10.1080%2f09613218.2011.582697&partnerID=40&md5=c85213fd79498bbb2f72e40381371a3a,"Department of Construction Economics, University of Pretoria, Pretoria 0002, South Africa; School of Architecture and Landscape Architecture, University of British Columbia, Vancouver,BC, V6T1Z2, Canada","Du Plessis C., Department of Construction Economics, University of Pretoria, Pretoria 0002, South Africa; Cole R.J., School of Architecture and Landscape Architecture, University of British Columbia, Vancouver,BC, V6T1Z2, Canada",
Nascimento A.R.T.; Ramos P.H.X.; Dalmaso C.A.,"Nascimento, AndrÃ© Rosalvo Terra (16205754400); Ramos, Paulo Henrique Xavier (42262617000); Dalmaso, Cilmar AntÃ´nio (42261210300)",16205754400; 42262617000; 42261210300,"Structure and classification of a riparian forest remnant in the city of Lages, SC; [Estrutura e classificaÃ§Ã£o de um remanescente de floresta ripÃ¡ria no municÃ­pio de Lages, SC]",2011,Ciencia Florestal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959986660&partnerID=40&md5=cb6dd09269a57f8c264d2028bb2eeffa,"Instituto de Biologia, Universidade Federal de UberlÃ¢ndia, CEP 38400-902, UberlÃ¢ndia (MG), Caixa Postal 593, Campus Umuarama, Brazil; Universidade do Estado de Santa Catarina, Centro de CiÃªncias AgroveterinÃ¡rias, Bairro Conta Dinheiro, CEP 88520-000, Lages (SC), Av. Luiz de CamÃµes 2090, Brazil; Departamento de Engenharia Florestal, Universidade Estadual do Centro-Oeste, Bairro Riozinho, CEP 84500-000, Irati (PR), Rodovia PR 153, km 7, Brazil","Nascimento A.R.T., Instituto de Biologia, Universidade Federal de UberlÃ¢ndia, CEP 38400-902, UberlÃ¢ndia (MG), Caixa Postal 593, Campus Umuarama, Brazil; Ramos P.H.X., Universidade do Estado de Santa Catarina, Centro de CiÃªncias AgroveterinÃ¡rias, Bairro Conta Dinheiro, CEP 88520-000, Lages (SC), Av. Luiz de CamÃµes 2090, Brazil; Dalmaso C.A., Departamento de Engenharia Florestal, Universidade Estadual do Centro-Oeste, Bairro Riozinho, CEP 84500-000, Irati (PR), Rodovia PR 153, km 7, Brazil",
Ponzini D.,"Ponzini, Davide (34880579200)",34880579200,"Large scale development projects and star architecture in the absence of democratic politics: The case of Abu Dhabi, UAE",2011,Cities,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952897968&doi=10.1016%2fj.cities.2011.02.002&partnerID=40&md5=f2540b2b11dfe9bfb9a55a833bb863ed,"Department of Architecture and Planning, Politecnico di Milano, 20133 Milano, Via Bonardi 3, Italy","Ponzini D., Department of Architecture and Planning, Politecnico di Milano, 20133 Milano, Via Bonardi 3, Italy",Agnelli Foundation; UniCredit Private Banking
Sung H.; Oh J.-T.,"Sung, Hyungun (36519820700); Oh, Ju-Taek (8346589300)",36519820700; 8346589300,"Transit-oriented development in a high-density city: Identifying its association with transit ridership in Seoul, Korea",2011,Cities,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649935649&doi=10.1016%2fj.cities.2010.09.004&partnerID=40&md5=917fe37c07a45dadd93d1dea8691cbf5,"The Korea Transport Institute, Goyang-si, Gyeonggi-do 411-701, 2311 Daewha-dong, Ilsanseo-gu, South Korea","Sung H., The Korea Transport Institute, Goyang-si, Gyeonggi-do 411-701, 2311 Daewha-dong, Ilsanseo-gu, South Korea; Oh J.-T., The Korea Transport Institute, Goyang-si, Gyeonggi-do 411-701, 2311 Daewha-dong, Ilsanseo-gu, South Korea",TOD; Korea Transport Institute
Wu M.; Lei Q.; Cao W.; She J.,"Wu, Min (35231682600); Lei, Qi (35519841500); Cao, Weihua (7402082944); She, Jinhua (7102576674)",35231682600; 35519841500; 7402082944; 7102576674,Integrated soft sensing of coke-oven temperature,2011,Control Engineering Practice,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052093668&doi=10.1016%2fj.conengprac.2011.06.001&partnerID=40&md5=6f708935da143730bb419f468816ca54,"School of Information Science and Engineering, Central South University, Changsha 410083, China; Key Laboratory of System Control and Information Processing, Ministry of Education, Shanghai 200240, China; School of Computer Science, Tokyo University of Technology, Hachioji, Tokyo 192-0982, Japan","Wu M., School of Information Science and Engineering, Central South University, Changsha 410083, China; Lei Q., School of Information Science and Engineering, Central South University, Changsha 410083, China, Key Laboratory of System Control and Information Processing, Ministry of Education, Shanghai 200240, China; Cao W., School of Information Science and Engineering, Central South University, Changsha 410083, China; She J., School of Information Science and Engineering, Central South University, Changsha 410083, China, School of Computer Science, Tokyo University of Technology, Hachioji, Tokyo 192-0982, Japan","Foundation of Key Laboratory of System Control and Information Processing, Ministry of Education, PR China; National High-tech Research and Development Program, (2008AA042902)"
Vepakomma U.; St-Onge B.; Kneeshaw D.,"Vepakomma, Udayalakshmi (14018612900); St-Onge, Benoit (6602221049); Kneeshaw, Daniel (6701451805)",14018612900; 6602221049; 6701451805,Response of a boreal forest to canopy opening: Assessing vertical and lateral tree growth with multi-temporal lidar data,2011,Ecological Applications,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955546089&doi=10.1890%2f09-0896.1&partnerID=40&md5=2e5707a93df1dae9b582de992633e7d4,"Institut des Sciences de L'Environnement, UniversitÃ© du QuÃ©bec Ã€ MontrÃ©al, MontrÃ©al, QC H3C3P8, Case Postale 8888 Succursale Centre-ville, Canada; DÃ©partement de GÃ©ographie, UniversitÃ© du QuÃ©bec Ã€ MontrÃ©al, MontrÃ©al, QC H3C3P8, Case Postale 8888 Succursale Centre-ville, Canada; DÃ©partement des Sciences Biologiques, UniversitÃ© du QuÃ©becÃ  MontrÃ©al, MontrÃ©al, QC H3C3P8, Case Postale 8888 Succursale Centre-ville, Canada","Vepakomma U., Institut des Sciences de L'Environnement, UniversitÃ© du QuÃ©bec Ã€ MontrÃ©al, MontrÃ©al, QC H3C3P8, Case Postale 8888 Succursale Centre-ville, Canada; St-Onge B., DÃ©partement de GÃ©ographie, UniversitÃ© du QuÃ©bec Ã€ MontrÃ©al, MontrÃ©al, QC H3C3P8, Case Postale 8888 Succursale Centre-ville, Canada; Kneeshaw D., DÃ©partement des Sciences Biologiques, UniversitÃ© du QuÃ©becÃ  MontrÃ©al, MontrÃ©al, QC H3C3P8, Case Postale 8888 Succursale Centre-ville, Canada",
Bhat D.M.; Hegde G.T.; Shetti D.M.; Patgar S.G.; Hegde G.N.; Furtado P.M.; Shastri C.M.; Bhat P.R.; Ravindranath N.H.,"Bhat, D.M. (7005056325); Hegde, G.T. (7004585776); Shetti, D.M. (7801388089); Patgar, S.G. (55062102500); Hegde, G.N. (57528676000); Furtado, P.M. (55058586100); Shastri, C.M. (6506604711); Bhat, P.R. (7102163752); Ravindranath, N.H. (7005160483)",7005056325; 7004585776; 7801388089; 55062102500; 57528676000; 55058586100; 6506604711; 7102163752; 7005160483,"Impact of disturbance on composition, structure, and floristics of tropical moist forests in Uttara Kannada District, Western Ghats, India",2011,Ecotropica,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857832180&partnerID=40&md5=81a96107c3ac4c8c08da7f40a232356d,"Centre for Ecological Sciences, Indian Institute of Science, Bangalore 560 012, India; Centre for Sustainable Technology, Indian Institute of Science, Bangalore 560 012, India","Bhat D.M., Centre for Ecological Sciences, Indian Institute of Science, Bangalore 560 012, India; Hegde G.T., Centre for Ecological Sciences, Indian Institute of Science, Bangalore 560 012, India; Shetti D.M., Centre for Ecological Sciences, Indian Institute of Science, Bangalore 560 012, India; Patgar S.G., Centre for Ecological Sciences, Indian Institute of Science, Bangalore 560 012, India; Hegde G.N., Centre for Ecological Sciences, Indian Institute of Science, Bangalore 560 012, India; Furtado P.M., Centre for Ecological Sciences, Indian Institute of Science, Bangalore 560 012, India; Shastri C.M., Centre for Ecological Sciences, Indian Institute of Science, Bangalore 560 012, India; Bhat P.R., Centre for Ecological Sciences, Indian Institute of Science, Bangalore 560 012, India; Ravindranath N.H., Centre for Sustainable Technology, Indian Institute of Science, Bangalore 560 012, India",
Jenkins A.P.; Jupiter S.D.,"Jenkins, Aaron P. (12785039900); Jupiter, Stacy D. (23990559200)",12785039900; 23990559200,Spatial and seasonal patterns in freshwater ichthyofaunal communities of a tropical high Island in Fiji,2011,Environmental Biology of Fishes,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959373575&doi=10.1007%2fs10641-011-9776-4&partnerID=40&md5=fbed572869e1abd5db675f8d4abba340,"Wetlands International-Oceania, University of the South Pacific, Suva, Fiji; Wildlife Conservation Society, Suva, 11 Ma'afu Street, Fiji","Jenkins A.P., Wetlands International-Oceania, University of the South Pacific, Suva, Fiji; Jupiter S.D., Wildlife Conservation Society, Suva, 11 Ma'afu Street, Fiji","David and Lucile Packard Foundation, DLPF, (2007â€“31847); Gordon and Betty Moore Foundation, GBMF, (540.01)"
