Authors,Author full names,Author(s) ID,Title,Year,Source title,Link,Affiliations,Authors with affiliations,Funding Details
Zahn-Daimler G.; MÃ¼ller W.E.G.; Kurelec B.; Rijavec M.; Zahn R.K.,"Zahn-Daimler, Gertrud (6506054275); MÃ¼ller, Werner E.G. (57201576528); Kurelec, Branko (14325060900); Rijavec, Marija (6603826389); Zahn, Rudolf K. (7102439437)",6506054275; 57201576528; 14325060900; 6603826389; 7102439437,Regenerating sponge cubes as a model in the impact evaluation of intermittant city and factory waste pollution,1975,"Science of the Total Environment, The",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016685371&doi=10.1016%2f0048-9697%2875%2990007-8&partnerID=40&md5=939763e22fd30627bb8e8a878452e414,"Institute for Physiological Chemistry, University, 65 Mainz, Germany; Commission Molecular Biology, Academic of Science and Letters, 65 Mainz B.R.D.; Laboratory for Marine Molecular Biology, Center for Marine Research, Rovinj","Zahn-Daimler G., Commission Molecular Biology, Academic of Science and Letters, 65 Mainz B.R.D., Laboratory for Marine Molecular Biology, Center for Marine Research, Rovinj; MÃ¼ller W.E.G., Institute for Physiological Chemistry, University, 65 Mainz, Germany, Commission Molecular Biology, Academic of Science and Letters, 65 Mainz B.R.D., Laboratory for Marine Molecular Biology, Center for Marine Research, Rovinj; Kurelec B., Laboratory for Marine Molecular Biology, Center for Marine Research, Rovinj; Rijavec M., Laboratory for Marine Molecular Biology, Center for Marine Research, Rovinj; Zahn R.K., Institute for Physiological Chemistry, University, 65 Mainz, Germany, Commission Molecular Biology, Academic of Science and Letters, 65 Mainz B.R.D., Laboratory for Marine Molecular Biology, Center for Marine Research, Rovinj","Academy of Science and Letters, Mainz"
Ferrara G.; Baccani D.; Campioni G.,"Ferrara, G. (57220525857); Baccani, D. (24545486400); Campioni, G. (56986626300)",57220525857; 24545486400; 56986626300,Feasibility hypothesis for the Maritime Alps Natural Park,1978,Landscape Planning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-49349120071&doi=10.1016%2f0304-3924%2878%2990004-7&partnerID=40&md5=8409391b62ada5ca33d9cafd8d6f9fa7,"Florence, Via Ghibellina 88, Italy","Ferrara G., Florence, Via Ghibellina 88, Italy; Baccani D., Florence, Via Ghibellina 88, Italy; Campioni G., Florence, Via Ghibellina 88, Italy",
Lean B.,"Lean, B. (6506760801)",6506760801,Resources for the inner city: a critique of government policies.,1979,Greater London Intelligence Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018670637&partnerID=40&md5=cfebe18e2e15fb9e859bc183cb6a008c,,,
Carleton T.J.; Taylor S.J.,"Carleton, T.J. (6701714349); Taylor, S.J. (56324786900)",6701714349; 56324786900,"The structure and composition of a wooded urban ravine system ( Scarborough, Ontario).",1983,Canadian Journal of Botany,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021059720&doi=10.1139%2fb83-149&partnerID=40&md5=fde4fec7dd99cba8e021922c2d3b407d,Canada,"Carleton T.J., Canada; Taylor S.J., Canada",
Thibodeau J.-C.,"Thibodeau, J.-C. (7005882239)",7005882239,"(A more contained urbanization, a regenerating agriculture).; [Une urbanisation mieux contenue, une agriculture qui se regenere.]",1984,Cahiers - Institut d'Amenagement et d'Urbanisme de la Region d'Ile-de-France,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021532479&partnerID=40&md5=3fcd04396aa5ff70ff06eeb945f41f56,,,
Barocio De La Lama O.,"Barocio De La Lama, O. (6505936104)",6505936104,Eco- communities for urban retention in Mexico's megacity green belt zones.,1985,"Passive and low energy ecotechniques. Proc. 3rd PLEA conference, Mexico City, 1984",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021817096&partnerID=40&md5=8868b9f2b71ac4d1a393a31ccd1fa4b2,Mexico,"Barocio De La Lama O., Mexico",
Larkins J.T.; Kovach A.J.,"Larkins, J.T. (6603216747); Kovach, A.J. (7101855942)",6603216747; 7101855942,Static feed water electrolysis system for space station O2 and H2 generation,1985,SAE Technical Papers,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072464661&doi=10.4271%2f851339&partnerID=40&md5=b2d07068ba5de287a2aaac23ac04720d,"Life Systems, Inc.","Larkins J.T., Life Systems, Inc.; Kovach A.J., Life Systems, Inc.",
Brown J.S.; Rosenzweig M.L.,"Brown, Joel S. (7409448841); Rosenzweig, Michael L. (7101650731)",7409448841; 7101650731,Habitat selection in slowly regenerating environments,1986,Journal of Theoretical Biology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000707399&doi=10.1016%2fS0022-5193%2886%2980150-3&partnerID=40&md5=5b81e9eabfe94ec86470aba7aea5a37c,"Department of Ecology, Evolutionary Biology University of Arizona, Tucson, AZ 85721, United States","Brown J.S., Department of Ecology, Evolutionary Biology University of Arizona, Tucson, AZ 85721, United States; Rosenzweig M.L., Department of Ecology, Evolutionary Biology University of Arizona, Tucson, AZ 85721, United States","National Science Foundation, NSF, (BSR-8103487)"
Sukardjo S.,"Sukardjo, Sukristijono (6602396209)",6602396209,"Natural regeneration status of commercial mangrove species (Rhizophora apiculata and Bruguiera gymnorrhiza) in the mangrove forest of Tanjung Bungin, Banyuasin District, South Sumatra",1987,Forest Ecology and Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023511130&doi=10.1016%2f0378-1127%2887%2990082-X&partnerID=40&md5=acd6a8b823791fd2a75e941f760dfd2f,Indonesia,"Sukardjo S., Indonesia",
Burrows B.,"Burrows, Brian (7102939188)",7102939188,Milton keynes: A model for regenerating our cities?,1987,Long Range Planning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-45949118973&doi=10.1016%2f0024-6301%2887%2990033-1&partnerID=40&md5=150a08aa0b9bbc03d3d08682e8013920,,,Borough of Milton; Manpower Services Commission; Milton Keynes Christian Industrial Foundation
Donnison E.D.; Middleton A.,"Donnison, E.D. (6506869593); Middleton, A. (7102132457)",6506869593; 7102132457,Regenerating the inner city: Glasgow's experience,1987,Regenerating the inner city: Glasgow's experience,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040874445&partnerID=40&md5=d8ca103601555317e038bff0da4142b4,"Town & Regional Planning Dept., Univ. of Glasgow, Glasgow, G12 8QQ, UK.","Donnison E.D., Town & Regional Planning Dept., Univ. of Glasgow, Glasgow, G12 8QQ, UK.; Middleton A., Town & Regional Planning Dept., Univ. of Glasgow, Glasgow, G12 8QQ, UK.",
Nicks O.W.; Chullen C.,"Nicks, Oran W. (6507569786); Chullen, Cinda (55983835500)",6507569786; 55983835500,A University team approach to regenerative concepts,1987,SAE Technical Papers,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072455656&doi=10.4271%2f871434&partnerID=40&md5=aa7a414fbba2f46c44d6ca0cd8c7d2f6,"Space Research Center, Texas A and M Univ., United States; NASA Lyndon B. Johnson Space Center, United States","Nicks O.W., Space Research Center, Texas A and M Univ., United States; Chullen C., NASA Lyndon B. Johnson Space Center, United States",
Ehyatt A.,"Ehyatt, A. (6504480005)",6504480005,Regenerating from the local level,1987,Town & Country Planning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023509249&partnerID=40&md5=a252d09594a6eb37110955314281b527,,,
Oyama Y.,"Oyama, Yoshihiko (24394857100)",24394857100,Groundwork: a way of regenerating cities,1988,Cities,https://www.scopus.com/inward/record.uri?eid=2-s2.0-45549116152&doi=10.1016%2f0264-2751%2888%2990009-1&partnerID=40&md5=6d4ffa07ae445e5de10106f078bce8fd,,,Toyoto Foundation
Warren A.,"Warren, Andrew (7201588770)",7201588770,Regenerating the inner cities - the energy dimension,1989,Energy Policy,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024444432&doi=10.1016%2f0301-4215%2889%2990122-5&partnerID=40&md5=b26925dd857f6f057e2b4be2d2076b97,"Association for the Conservation of Energy London, United Kingdom","Warren A., Association for the Conservation of Energy London, United Kingdom",
Mellor R.,"Mellor, Rosemary (7004395214)",7004395214,Urban sociology: A trend report,1989,Sociology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970378405&doi=10.1177%2f0038038589023002006&partnerID=40&md5=6095a91b1c1a4285acbecac6e216e257,"University of Manchester, United Kingdom","Mellor R., University of Manchester, United Kingdom",
Gaffikin F.; Morrissey M.,"Gaffikin, F. (14044997600); Morrissey, M. (7103054595)",14044997600; 7103054595,"Dependency, decline and development: the case of West Belfast",1990,Policy & Politics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025034431&doi=10.1332%2f030557390782454549&partnerID=40&md5=d4f4f853d5f69430d1f8e908c5228f07,,,
Shostak L.,"Shostak, L. (57217965944)",57217965944,Regenerating the developed coast,1992,"Coastal zone planning and management. Proc. conference, Blackpool, 1992",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027086049&partnerID=40&md5=0a8369e480e61434bbe92fce868fadd6,,,
Ahmed G.U.; Shah Newaz M.; Temu A.B.,"Ahmed, G.U. (7005246238); Shah Newaz, M. (6504419269); Temu, A.B. (6601962414)",7005246238; 6504419269; 6601962414,"Status of natural regeneration in the denuded hills of Chittagong, Bangladesh",1992,Commonwealth Forestry Review,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027019825&partnerID=40&md5=02cc56d5b88394a38e091c04a7432b5e,,,
Kleck G.; Patterson E.B.,"Kleck, Gary (6701542136); Patterson, E.Britt (16449101400)",6701542136; 16449101400,The impact of gun control and gun ownership levels on violence rates,1993,Journal of Quantitative Criminology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-21144468722&doi=10.1007%2fBF01064462&partnerID=40&md5=3d2ade731b64aa1990f97e08e897e18a,"School of Criminology and Criminal Justice, The Florida State University, Tallahassee, 32306, Florida, United States; Department of Criminal Justice, Shippensburg University, Shippensburg, 17257, Pennsylvania, United States","Kleck G., School of Criminology and Criminal Justice, The Florida State University, Tallahassee, 32306, Florida, United States; Patterson E.B., Department of Criminal Justice, Shippensburg University, Shippensburg, 17257, Pennsylvania, United States",
Page S.,"Page, S. (7202642266)",7202642266,Regenerating Wellington's waterfront,1993,Town & Country Planning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027721667&partnerID=40&md5=5ea5cc1e6d646e1b0a7c89b81f7b77d4,,,
Guillermo Aguilar A.; De Lourdes Sanchez M.,"Guillermo Aguilar, A. (6505895505); De Lourdes Sanchez, M. (6506856132)",6505895505; 6506856132,Environmental politics and urban regeneration in Mexico City; [Politica ambiental y regeneracion urbana en la Ciudad de Mexico],1994,Revista Geografica,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028677619&partnerID=40&md5=9ea0868df5492e286ddc8af0ebeaba31,,,
Mucker H.,"Mucker, H. (6506179811)",6506179811,Manufacturing turbines in the Andes of South America,1994,SHP News,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028608615&partnerID=40&md5=a19c55a8434fbee0e4324239d325c63b,,,
Ikuenobe C.E.; Chokor J.U.; Isenmila A.E.,"Ikuenobe, C.E. (6506729478); Chokor, J.U. (7801471066); Isenmila, A.E. (6507741084)",6506729478; 7801471066; 6507741084,Influence of method of land preparation on weed regeneration in cowpea (Vigna unguiculata L. Walp.),1994,Soil and Tillage Research,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028112056&doi=10.1016%2f0167-1987%2894%2990043-4&partnerID=40&md5=15b31e1aeed1c52248041a6a8642cecb,"Agronomy Division, Nigerian Institute for Oil Palm Research, Benin-City, P.M.B. 1030, Nigeria; Department of Agriculture, University of Benin, Benin-City, Nigeria; Nigeria","Ikuenobe C.E., Agronomy Division, Nigerian Institute for Oil Palm Research, Benin-City, P.M.B. 1030, Nigeria; Chokor J.U., Department of Agriculture, University of Benin, Benin-City, Nigeria; Isenmila A.E., Nigeria",
Palubinskas G.; Lucas R.M.; Foody2 G.M.; Curran P.J.,"Palubinskas, G. (6602832647); Lucas, R.M. (55816939900); Foody2, G.M. (7007014233); Curran, P.J. (35561458600)",6602832647; 55816939900; 7007014233; 35561458600,An evaluation of fuzzy and texture-based classification approaches for mapping regenerating tropical forest classes from landsat-TM data,1995,International Journal of Remote Sensing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028810572&doi=10.1080%2f01431169508954437&partnerID=40&md5=eaf72d1863a0d4f1370f6992b1d02c45,"Department of Data Analysis, Institute of Mathematics and Informatics, Vilnius, 2600, Akademijos st. 4, Lithuania; Department of Geography, University of Wales Swansea, Singleton Park, Swansea, SA2 8PP, United Kingdom; Department of Geography, University of Southampton, Highfield, Southampton, SOI7 1BJ, United Kingdom","Palubinskas G., Department of Data Analysis, Institute of Mathematics and Informatics, Vilnius, 2600, Akademijos st. 4, Lithuania; Lucas R.M., Department of Geography, University of Wales Swansea, Singleton Park, Swansea, SA2 8PP, United Kingdom; Foody2 G.M., Department of Geography, University of Wales Swansea, Singleton Park, Swansea, SA2 8PP, United Kingdom; Curran P.J., Department of Geography, University of Southampton, Highfield, Southampton, SOI7 1BJ, United Kingdom","Natural Environment Research Council, NERC, (GST/02/0604)"
Whysall P.,"Whysall, Paul (57196059882)",57196059882,Regenerating inner city shopping centres. The British experience,1995,Journal of Retailing and Consumer Services,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029520947&doi=10.1016%2f0969-6989%2895%2900005-4&partnerID=40&md5=6bca138aef751561fb5e4b86b82ebc8f,"Nottingham Business School, Nottingham Trent University, Nottingham, NG1 4BU, Burton Street, United Kingdom","Whysall P., Nottingham Business School, Nottingham Trent University, Nottingham, NG1 4BU, Burton Street, United Kingdom",
Berry J.; McGreal S.,"Berry, J. (7402634727); McGreal, S. (6701755437)",7402634727; 6701755437,Community and inter-agency structures in the regeneration of inner- city Belfast,1995,Town Planning Review,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029480943&doi=10.3828%2ftpr.66.2.g5l52757r47x7662&partnerID=40&md5=fe364b3074d04e3766f141926dda1236,United Kingdom,"Berry J., United Kingdom; McGreal S., United Kingdom",
Basiago A.D.,"Basiago, A.D. (6603112762)",6603112762,The search for the sustainable city in 20th century urban planning,1996,Environmentalist,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029662959&doi=10.1007%2fBF01325104&partnerID=40&md5=1090f61ac56908642281f684806430d5,"Chatsworth, CA 91311, 10847 Sunnybrae Avenue, United States","Basiago A.D., Chatsworth, CA 91311, 10847 Sunnybrae Avenue, United States",
Rosenberger Todd E.; Colburn Joseph W.; Walton W.Scott; McMullen Kenneth,"Rosenberger, Todd E. (6604022701); Colburn, Joseph W. (7004515429); Walton, W.Scott (7004983250); McMullen, Kenneth (6603814293)",6604022701; 7004515429; 7004983250; 6603814293,Characterization of pressure transducers for quantifying oscillatory pressure in spectrally rich combustion environments,1996,Instrumentation in the Aerospace Industry : Proceedings of the International Symposium,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029707574&partnerID=40&md5=4a01f2f6fb67bbc3ef6ba3868d80ada8,"U.S. Army Research Lab, Aberdeen Proving Ground, United States","Rosenberger Todd E., U.S. Army Research Lab, Aberdeen Proving Ground, United States; Colburn Joseph W., U.S. Army Research Lab, Aberdeen Proving Ground, United States; Walton W.Scott, U.S. Army Research Lab, Aberdeen Proving Ground, United States; McMullen Kenneth, U.S. Army Research Lab, Aberdeen Proving Ground, United States",
Kimothi M.M.; Juyal N.,"Kimothi, M.M. (6603283991); Juyal, N. (8711963300)",6603283991; 8711963300,Environmental impact assessment of a few selected watersheds of the Chamoli district (Central Himalaya) using remotely sensed data,1996,International Journal of Remote Sensing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030135607&doi=10.1080%2f01431169608948711&partnerID=40&md5=6e5b38854a5d3b4f3162c428aadf5e8c,"Space Applications Center, Ahmedabad, 380 053, India; Physical Research Laboratory, Ahmedabad, 380 009, India","Kimothi M.M., Space Applications Center, Ahmedabad, 380 053, India; Juyal N., Physical Research Laboratory, Ahmedabad, 380 009, India",
Allen Edwards T.,"Allen Edwards, Terence (57191050067)",57191050067,Community learning with an â€œintelligentâ€ college: a new way to learn,1996,Journal of European Industrial Training,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986077490&doi=10.1108%2f03090599610105237&partnerID=40&md5=6ad3cd2ace8c5be28a359e95982ae22b,"City of Bath College, United Kingdom","Allen Edwards T., City of Bath College, United Kingdom",
Tri T.O.; Edeen M.A.; Henninger D.L.,"Tri, Terry O. (6701853213); Edeen, Marybeth A. (6603282827); Henninger, Donald L. (7003699202)",6701853213; 6603282827; 7003699202,The advanced life support human-rated test facility: Testbed development and testing to understand evolution to regenerative life support,1996,SAE Technical Papers,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072480086&doi=10.4271%2f961592&partnerID=40&md5=e04249fda095d071441d8752cb01ee55,"NASA Johnson Space Center, United States","Tri T.O., NASA Johnson Space Center, United States; Edeen M.A., NASA Johnson Space Center, United States; Henninger D.L., NASA Johnson Space Center, United States",
Harper D.; Witkowski F.; Kemp-McCarthy D.; Crabb J.,"Harper, David (7202582743); Witkowski, Francis (7007063091); Kemp-McCarthy, Debbie (6508130432); Crabb, Jacky (7102056017)",7202582743; 7007063091; 6508130432; 7102056017,The distribution and abundance of riparian trees in English lowland floodplains,1997,Global Ecology and Biogeography Letters,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031396332&doi=10.2307%2f2997743&partnerID=40&md5=84031baef7be12b4bcdbf9614fda47cb,"Ecology Unit, Department of Zoology, University of Leicester, LEI 7RH, United Kingdom","Harper D., Ecology Unit, Department of Zoology, University of Leicester, LEI 7RH, United Kingdom; Witkowski F., Ecology Unit, Department of Zoology, University of Leicester, LEI 7RH, United Kingdom; Kemp-McCarthy D., Ecology Unit, Department of Zoology, University of Leicester, LEI 7RH, United Kingdom; Crabb J., Ecology Unit, Department of Zoology, University of Leicester, LEI 7RH, United Kingdom",
Metz J.J.,"Metz, John J. (7202027323)",7202027323,Vegetation dynamics of several little disturbed temperate forests in East Central Nepal,1997,Mountain Research and Development,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031429980&doi=10.2307%2f3674023&partnerID=40&md5=edeb5f5aae44b81846eb09387b9fe3ec,"Department of History and Geography, Northern Kentucky University, Highland Heights, KY 41099, United States","Metz J.J., Department of History and Geography, Northern Kentucky University, Highland Heights, KY 41099, United States",
Clark D.E.; Herrin W.E.,"Clark, David E. (55449397000); Herrin, William E. (6602564182)",55449397000; 6602564182,Historical preservation districts and home sale prices: Evidence from the sacramento housing market,1997,Review of Regional Studies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031428028&partnerID=40&md5=2c548f52296c556aec2535c44efe5107,"Department of Economics, Milwaukee University, Milwaukee, WI, United States; Department of Economics, University of the Pacific, Stockton, CA, United States","Clark D.E., Department of Economics, Milwaukee University, Milwaukee, WI, United States; Herrin W.E., Department of Economics, University of the Pacific, Stockton, CA, United States",
Kalkat Kewal,"Kalkat, Kewal (6506726478)",6506726478,Birmingham heartlands spine road - regenerating a former industrial area,1998,Highways and Transportation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032284269&partnerID=40&md5=c904dc0fd939ca9ea9e752546a5e03b6,Transportation Dep,"Kalkat Kewal, Transportation Dep",
Kamaluddin M.; Nath T.K.; Jashimuddin M.,"Kamaluddin, M. (6602104540); Nath, T.K. (35272474800); Jashimuddin, M. (56580352600)",6602104540; 35272474800; 56580352600,Indigenous practice of khejur palm (Phoenix sylvestris) husbandry in rural Bangladesh,1998,Journal of Tropical Forest Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0011741008&partnerID=40&md5=4a948fa93ad6692c024f1b37acaaf6bb,"Inst. of Forest. and Environ. Sci., Chittagong University, Chittagong 4331, Bangladesh","Kamaluddin M., Inst. of Forest. and Environ. Sci., Chittagong University, Chittagong 4331, Bangladesh; Nath T.K., Inst. of Forest. and Environ. Sci., Chittagong University, Chittagong 4331, Bangladesh; Jashimuddin M., Inst. of Forest. and Environ. Sci., Chittagong University, Chittagong 4331, Bangladesh",
Gibson C.; Hardman D.,"Gibson, Chrissie (57192964684); Hardman, David (57202410407)",57192964684; 57202410407,Regenerating urban heritage for tourism,1998,Managing Leisure,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009578295&doi=10.1080%2f13606719808559324&partnerID=40&md5=6d1da5619a61dfedaa3882c424c7d878,"Department of Environmental & Geographical Sciences, Manchester Metropolitan University, Manchester, MI 5GD, John Dalton Building, Chester St., United Kingdom","Gibson C., Department of Environmental & Geographical Sciences, Manchester Metropolitan University, Manchester, MI 5GD, John Dalton Building, Chester St., United Kingdom; Hardman D., Department of Environmental & Geographical Sciences, Manchester Metropolitan University, Manchester, MI 5GD, John Dalton Building, Chester St., United Kingdom",
Rees P.; Ostby L.; Durham H.; Kupiszewski M.,"Rees, P. (57203885444); Ostby, L. (6603222397); Durham, H. (7005244605); Kupiszewski, M. (7003328209)",57203885444; 6603222397; 7005244605; 7003328209,Internal migration and regional population dynamics in Europe: Norway case study,1998,"Working Paper of the University of Leeds, School of Geography",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032428817&partnerID=40&md5=1ccc44cd0c547dce2b17d26d5624651a,,,
Freeman C.,"Freeman, Claire (7202386913)",7202386913,Development of a simple method for site survey and assessment in urban areas,1999,Landscape and Urban Planning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033104828&doi=10.1016%2fS0169-2046%2898%2900114-5&partnerID=40&md5=cf2c09d4871c571bf5ffe80f65e7c0dc,"Resource and Environmental Planning, Massey University, P. Bag 11222, Palmerston North, New Zealand","Freeman C., Resource and Environmental Planning, Massey University, P. Bag 11222, Palmerston North, New Zealand",
Smale M.C.; Gardner R.O.,"Smale, M.C. (7006876494); Gardner, R.O. (7401523636)",7006876494; 7401523636,"Survival of Mount Eden Bush, an urban forest remnant in Auckland, New Zealand",1999,Pacific Conservation Biology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033510447&doi=10.1071%2fpc990083&partnerID=40&md5=6fad61edab6fe2b89da937857f156b42,"Landcare Research New Zealand, Hamilton, Private Bag 3127, New Zealand; Auckland Institute and Museum, Auckland, Private Bag 92018, New Zealand","Smale M.C., Landcare Research New Zealand, Hamilton, Private Bag 3127, New Zealand; Gardner R.O., Auckland Institute and Museum, Auckland, Private Bag 92018, New Zealand",
Wark M.C.,"Wark, M.C. (7004582463)",7004582463,Regeneration of Melaleuca lanceolata otto. and Melaleuca squarrosa donn ex sm. communities of the coast and river valleys in the north-eastern otway ranges 1-10 years after the wildfire of February 1983,1999,Proceedings of the Royal Society of Victoria,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033619804&partnerID=40&md5=75c9d6cef995488a7eb6407fc16094ba,"Angair Incorporated, Anglesea, Vic. 3230, PO Box 12, Australia","Wark M.C., Angair Incorporated, Anglesea, Vic. 3230, PO Box 12, Australia",
Cariani P.,"Cariani, Peter (6701613269)",6701613269,Regenerative process in life and mind,2000,Annals of the New York Academy of Sciences,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034114409&doi=10.1111%2fj.1749-6632.2000.tb06262.x&partnerID=40&md5=f90d8d9779c78b50ed4ed443c196dbcb,"Eaton Peabody Lab. of Auditory P., Massachusetts Eye/Ear Infirmary, Boston, MA 02114, United States; Eaton Peabody Laboratory, Massachusetts Eye/Ear Infirmary, Boston, MA 02114, 243 Charles St., United States","Cariani P., Eaton Peabody Lab. of Auditory P., Massachusetts Eye/Ear Infirmary, Boston, MA 02114, United States, Eaton Peabody Laboratory, Massachusetts Eye/Ear Infirmary, Boston, MA 02114, 243 Charles St., United States","National Institute on Deafness and Other Communication Disorders, NIDCD, (R29DC003054)"
Law C.M.,"Law, C.M. (7201607367)",7201607367,Regenerating the city centre through leisure and tourism,2000,Built Environment,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033776847&partnerID=40&md5=4f29158b5f468ffaaa651214bb476968,"University of Salford, Salford, United Kingdom","Law C.M., University of Salford, Salford, United Kingdom",
Couch C.; Dennemann A.,"Couch, Chris (6701402135); Dennemann, Annekatrin (57210009219)",6701402135; 57210009219,Urban regeneration and sustainable development in Britain. The example of the Liverpool Ropewalks Partnership,2000,Cities,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034052050&doi=10.1016%2fS0264-2751%2800%2900008-1&partnerID=40&md5=b3509e62dc9b6ca518af75b802c7eff5,"Liverpool John Moores University, Sch. Built Environ., Clarence S., Liverpool, United Kingdom","Couch C., Liverpool John Moores University, Sch. Built Environ., Clarence S., Liverpool, United Kingdom; Dennemann A., Liverpool John Moores University, Sch. Built Environ., Clarence S., Liverpool, United Kingdom",
Kangmao W.; Chun H.,"Kangmao, Wang (7501397173); Chun, Hu (7202215173)",7501397173; 7202215173,"Geese, tigers and dragons: Convergence and integration of east Asian economies",2000,Foresight,https://www.scopus.com/inward/record.uri?eid=2-s2.0-3543097398&doi=10.1108%2f14636680010802483&partnerID=40&md5=236926c377fb47db65e3a86d3893d584,"Department of Finance and Accounting, National University of Singapore, 15 Law Link, Singapore 117591, Singapore; National Institute of Education, Nanyang Technological University, 469 Bukit Timah Rd., S., Singapore","Kangmao W., Department of Finance and Accounting, National University of Singapore, 15 Law Link, Singapore 117591, Singapore; Chun H., National Institute of Education, Nanyang Technological University, 469 Bukit Timah Rd., S., Singapore",
Evans R.; Long D.,"Evans, Richard (56205983500); Long, Derek (36938674200)",56205983500; 36938674200,Estate-based regeneration in England: Lessons from Housing Action Trusts,2000,Housing Studies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034064648&doi=10.1080%2f02673030082405&partnerID=40&md5=478bc8fbd7844562b2e31b82bbf937d1,"European Institute for Urban Affairs, Liverpool John Moores University, Liverpool, United Kingdom; European Institute for Urban Affairs, Liverpool John Moores University, Liverpool L1 9AT, 51 Rodney Street, United Kingdom","Evans R., European Institute for Urban Affairs, Liverpool John Moores University, Liverpool, United Kingdom, European Institute for Urban Affairs, Liverpool John Moores University, Liverpool L1 9AT, 51 Rodney Street, United Kingdom; Long D., European Institute for Urban Affairs, Liverpool John Moores University, Liverpool, United Kingdom, European Institute for Urban Affairs, Liverpool John Moores University, Liverpool L1 9AT, 51 Rodney Street, United Kingdom",
Higgins S.I.; Bond W.J.; Trollope W.S.W.,"Higgins, Steven I. (7203087491); Bond, William J. (56522583600); Trollope, Winston S. W. (6603272594)",7203087491; 56522583600; 6603272594,"Fire, resprouting and variability: A recipe for grass-tree coexistence in savanna",2000,Journal of Ecology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034099815&doi=10.1046%2fj.1365-2745.2000.00435.x&partnerID=40&md5=629b8166f6d20442cfd6dff7f51a4248,"Department of Botany, University of Cape Town, Rondebosch 7701, Private Bag, South Africa; Dept. of Livestock and Pasture Sci., Faculty of Agriculture, University of Fort Hare, Alice 5700, South Africa; National Botanical Institute, Claremont 7735, Private Bag X7, South Africa","Higgins S.I., National Botanical Institute, Claremont 7735, Private Bag X7, South Africa; Bond W.J., Department of Botany, University of Cape Town, Rondebosch 7701, Private Bag, South Africa; Trollope W.S.W., Dept. of Livestock and Pasture Sci., Faculty of Agriculture, University of Fort Hare, Alice 5700, South Africa",
Paxton R.A.; Stirling J.M.; Fleming G.,"Paxton, R.A. (7102371387); Stirling, J.M. (7004848302); Fleming, G. (57225470184)",7102371387; 7004848302; 57225470184,"Regeneration of the Forth and Clyde and Union canals, Scotland",2000,Proceedings of the Institution of Civil Engineers: Civil Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034106452&doi=10.1680%2fcien.2000.138.2.61&partnerID=40&md5=f186959631926d449928ff8cf68d2049,,,
